address,sum_bought,class_bought,txs_bought,sum_sold,class_sold,txs_sold
\x533a0ea2994fe49df6886f493231dcd161108e51,7917.404477,2.5K-10K,22,27387.742586,10K+,60
\x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,7911.4832,2.5K-10K,2,0,0,0
\xc7cb1dd7b1aaade4a75b69e472c3d8314af4ea4c,7804.481079193125,2.5K-10K,13,16425.645,10K+,10
\xd135550c6ecee8d9e2953e498a570c2d5c278d82,7782.0969,2.5K-10K,1,0,0,0
\x9eed555a7b54471a0808cec8d176980323674bc8,7719.04335864776,2.5K-10K,40,15523.21162299968,10K+,26
\xa96cbc4c3651b25aebf9ec28d478781bc366bac7,7571.599204,2.5K-10K,29,0,0,0
\x3b35cd0f2baa0f59084649d68155e93f438fe32f,7569.277025,2.5K-10K,7,2963.65216,2.5K-10K,7
\xb35e71b6a5aebb07dfc3aa705968411ebdbc003f,7192.023368,2.5K-10K,15,79194.3331,10K+,15
\xd8de315eb7a00f4155d1ea9eb4eb6888ae715631,6923.306617,2.5K-10K,18,9618.445914,2.5K-10K,12
\x4d246e41d7131ff60cd533c13bd2aafce7ab1265,6816.27797,2.5K-10K,6,9253.19800,2.5K-10K,8
\xd61daebc28274d1feaaf51f11179cd264e4105fb,6754.3807991285326,2.5K-10K,47,35451.381946,10K+,21
\x750e0cbae6e9e06dd7f4592db49ba4cdb462f7f0,6703.554742,2.5K-10K,17,31466.86775,10K+,12
\x51448923d8a215a5a8cd872a51f22c2f5c43b444,6611.281745,2.5K-10K,28,42583.1456,10K+,4
\x4a3e6e66f8c32bc05a50879f872b1177a1573cdf,6522.041010,2.5K-10K,16,965.73,500-2.5K,1
\x01b7baa7baa864fef3cd1c7bc118cc97cedcb33f,6495.96332,2.5K-10K,6,5375.865,2.5K-10K,1
\x540cb04ebab67e05a620b97bb367ac5e4ed68f09,6492.83945,2.5K-10K,3,22818.33619468,10K+,19
\x5a45fa1d4ffc1428dc50f9df6fd1643f1012a39d,6245.25934,2.5K-10K,15,21768.96161,10K+,45
\xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,6234.404247122307,2.5K-10K,6,0,0,0
\x70fcc69a34922364f79b244a7ba03f1f87b28bca,6222.34885,2.5K-10K,18,0,0,0
\x63bf83c11c50627f44119336a3c2f616b7c65228,5851.483367,2.5K-10K,17,0,0,0
\xa2f1356191ca07dcc50c03465bcec0ec25089501,5782.83226,2.5K-10K,8,10425.96234,10K+,6
\x477c2087f3d6e49b1be5c790a33b3a025a4fa569,5780.92295,2.5K-10K,11,6082.45684,2.5K-10K,4
\xe6321346078f6500c599786f20713c5aa8b22867,5765.44070,2.5K-10K,9,11055.1928,10K+,6
\xc433aad58c7af965a5ce7a3647286e46d333812b,5660.100815,2.5K-10K,27,4972.01616,2.5K-10K,5
\x42ca45b785d87b8375dff176555c745b27d69da5,5530.095994,2.5K-10K,3,10616.0908,10K+,7
\x0bebe2165de412e7925ab8352e36f3b0493dd3b9,5487.551292070711,2.5K-10K,9,0,0,0
\xc2b66053c5871c4512c7733bac07520acc694e8f,5467.072108,2.5K-10K,15,36302.218599,10K+,69
\x5d8b04e983a2f83174530a3574e89f42e5ee066e,5329.57905,2.5K-10K,15,1594.782,500-2.5K,3
\x289c44ab3f461127af1f04fc80f8b54fc3ff7316,5242.46413,2.5K-10K,9,7784.244,2.5K-10K,4
\xf998c7c1af3c58efa6900b13469fc187b9db0cab,5170.102151,2.5K-10K,26,10588.824130,10K+,38
\xdb5d099a6d2f2bc090fcd258cc564861d552c387,5111.241895,2.5K-10K,12,80119.3969972,10K+,62
\x6545a8cb2d809f8488e89480df5055fb176aa318,4954.607347,2.5K-10K,9,8017.80999,2.5K-10K,11
\xa181a3c3460ad5a2650f380352e3e68111e3d60e,4905.23270,2.5K-10K,22,12927.16592,10K+,35
\x315e1a5c796b734585c27e615b774441372fbd08,4746.367107,2.5K-10K,9,9207.6083,2.5K-10K,5
\x5dac9ccc215b9af65b486066786f79d9aa0043da,4722.279715,2.5K-10K,10,3906.9194,2.5K-10K,2
\x5f855b107afaadf722cf9611b82167a272b4acb0,4705.26069,2.5K-10K,6,26964.031,10K+,3
\xafdfa849e4d2fb2817fb14d2b60201c333758556,4576.745763,2.5K-10K,16,57625.030058,10K+,14
\xf3bfaceedb442e170f896d96e16ed01354c022bb,4551.75108,2.5K-10K,4,2829.56611,2.5K-10K,5
\x78c0a25ccc21604b3d117100de7c9523f53236c7,4384.735698,2.5K-10K,13,8143.0715,2.5K-10K,2
\x73165a7bf621f466c63f6a0c8f08e969772c2a6d,4375.326569,2.5K-10K,10,16953.934752,10K+,33
\xaa1ad4784c1f3099447d85e97aa551614bcf601c,4366.730531,2.5K-10K,32,61641.339567,10K+,127
\x9ddc726fce55a7d6c2a985a7944eab88ae343f50,4353.663598,2.5K-10K,3,8521.97716,2.5K-10K,4
\xc10898eda672fdfc4ac0228bb1da9b2bf54c768f,4239.00716,2.5K-10K,3,7078.5832,2.5K-10K,2
\xf0f6d9cec36a45e084f7c6c92fcf3393487ece8d,4238.21568,2.5K-10K,8,15936.794154,10K+,14
\x2802907ab681298d35ce2eaf2415550137c40c8a,4125.98005,2.5K-10K,8,6657.73924,2.5K-10K,22
\xe53085d26544daf3ba8f66b2d1b108e285cc51f9,4100.278890,2.5K-10K,21,0.342015,>500,1
\xac0cc4d76827cc8da164312bc7adf00e4a9ed42f,4097.15630,2.5K-10K,7,9412.783274,2.5K-10K,9
\x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5,3954.601586,2.5K-10K,11,7306.27355,2.5K-10K,10
\x16bc93428d68b05158c5f80fee4234b6f0a1a336,3715.8511,2.5K-10K,3,33775.966015,10K+,23
\x2be21ec97c340301e903f65f66901a23c48f4873,3624.42864,2.5K-10K,5,95.9928,>500,1
\x38a48b784dbe0a5a784f971eda83a9550ddf8300,3601.138403,2.5K-10K,2,165.7872,>500,1
\xa1457afa30b8e396cde5bac320ed7c8e7b521bc8,3584.63833,2.5K-10K,13,4291.48228,2.5K-10K,3
\x48a9789428f2067338d02b1ef3612df64f05feb7,3483.108086,2.5K-10K,5,3143.540625,2.5K-10K,3
\x01623c98f9651095d600f2ecb45dfa1072fc9589,3449.3386,2.5K-10K,2,6736.950076,2.5K-10K,2
\x2ede0ccebfb3bf307dafc57ff700183391620a69,3446.95663,2.5K-10K,6,6926.9634,2.5K-10K,5
\xfb25dd458aa0b6f8b842dec26b84e9d479b47efb,3339.87762008539,2.5K-10K,3,17281.0217,10K+,3
\x7721f140c2968d5c639a9b40a1e6ca48a9b7c41d,3240.73526,2.5K-10K,13,8607.7610,2.5K-10K,7
\x207053a23d86fe3697dc073461f293894a931a72,3210.970058,2.5K-10K,10,72243.440357,10K+,147
\x4df5eab795e7ecb93d81aea7ccddcee13211e99b,3207.84347,2.5K-10K,11,0,0,0
\x8b104344f397afc33ee55c743a0fbd7d956201cd,3178.908842774996873,2.5K-10K,126,80232.979770,10K+,15
\x46fdc9bc2d30f545f1e13feeb85183584a36de4d,3120.907512,2.5K-10K,5,0,0,0
\xb5c1213ee9ddf312c98f6e94caf5c421c86abff3,3080.897185,2.5K-10K,3,28488.454643,10K+,46
\x0f8361ef329b43fa48ac66a7cd8f619c517274f1,3055.65623,2.5K-10K,12,13349.9931,10K+,6
